"","","","","classificacoes"
"1",0.369260660514206,0.204226610187159,0.0809266079841228,3
"2",0.442459458387794,0.332148209898513,0.76276030455006,2
"3",0.514128009925976,0.379344925829405,0.561240900541774,2
"4",0.493451142816239,0.38539550114445,0.339136505689836,1
"5",0.414780911371162,0.322940807383922,0.446248465201114,1
"6",0.399644918965922,0.531951548463799,0.564580134253438,2
"7",0.398831205733516,0.477071247165505,0.470043371404967,1
"8",0.43603553653942,0.389683328932796,0.588455511695132,2
"9",0.464390567930714,0.47089159946283,0.360776333218716,1
"10",0.44804393192438,0.414746113438632,0.590255031224424,2
"11",0.542147241012485,0.548635869332009,0.495720878403013,2
"12",0.338589022823605,0.250385366540634,0.0242035459984893,3
"13",0.544407224685431,0.469019305870693,0.677510723286807,2
"14",0.545920069697331,0.38962845772807,0.878608250715585,2
"15",0.668579118475564,0.635514543696078,0.436304909623841,1
"16",0.560238208508805,0.429844544669461,0.648668238329852,2
"17",0.317949270898579,0.814468851740257,0.243446613556145,1
"18",0.488193583701401,0.408909254194462,0.549334105698441,2
"19",0.594311500926561,0.537306554245391,0.154533149914918,1
"20",0.412089285091286,0.398512424620186,0.070965959203947,3
"21",0.34761898105512,0.702081889563215,0.368790029759414,1
"22",0.465652858549086,0.453498470189056,0.51277972952648,2
"23",0.297880812703275,0.903451223847179,0.110735079470294,1
"24",0.454159028379426,0.38475166100298,0.165497177109576,3
"25",0.449378895510086,0.481563162065099,0.309923932800293,1
"26",0.449634694880116,0.548655770527976,0.406578398263489,1
"27",0.522420981465615,0.665354586533315,0.551165180013441,2
"28",0.497270853398964,0.411207620207156,0.626107083872861,2
"29",0.482697856509893,0.515152632605374,0.344438612609957,1
"30",0.30870323406275,0.640646816697103,0.0418429658767663,3
"31",0.377723641574248,0.772872073146496,0.534538827220889,1
"32",0.0824597999900117,0.0292057876504202,0.575785658335765,3
"33",0.382476357991152,0.320833845571627,0.0315645576148836,3
"34",0.443329981272247,0.546265190161701,0.400041346144348,1
"35",0.568546073979204,0.559388493301187,0.453553966351503,1
"36",0.507728468545418,0.469102609903079,0.29931641840846,1
"37",0.41765394098554,0.436243164090599,0.159161080886879,3
"38",0.52137833523647,0.459921103016703,0.488201559932694,2
"39",0.331428166761679,0.326262376504443,0.0798927905695359,3
"40",0.373060234047386,0.427678439593397,0.200883928459255,3
"41",0.38798491198641,0.414733031256088,0.0053403399683876,3
"42",0.482556560094341,0.525254380903337,0.357829109396178,1
"43",0.45920409259445,0.289262601011882,0.392429278971401,1
"44",0.378000879983591,0.218926811162666,0.0277306061608255,3
"45",0.397005749356554,0.23613760968105,0.0195884659167594,3
"46",0.359866308781015,0.289934230513649,0.124684433218756,3
"47",0.53959386093776,0.451395300450154,0.598634237817178,2
"48",0.359358649399151,0.219820863518961,0.0560793942682439,3
"49",0.465849749400867,0.465565104627423,0.350351117676255,1
"50",0.489051082003814,0.513409305812033,0.15147200810373,1
"51",0.53791498120757,0.444688908405678,0.569197743097293,2
"52",0.405972064173316,0.583383147553891,0.408867017631149,1
"53",0.588152038450079,0.540061969475889,0.364654676704543,1
"54",0.410400752784905,0.579027516516115,0.294781571661758,1
"55",0.500264281460415,0.661116213669756,0.499509680810611,1
"56",0.547949537570401,0.472710710247721,0.5058868440175,2
"57",0.615787079965593,0.485206511800019,0.396609130154906,1
"58",0.663490165791968,0.562660356475148,0.388544134763734,1
"59",0.66611607776306,0.60810203093404,0.42968749606128,1
"60",0.500269088523917,0.486817939380185,0.30988971919098,1
"61",0.329326325818846,1,0,1
"62",0.735935182807817,0.615269146100432,0.704935890782858,2
"63",0.412592395061661,0.529980583068534,0.257057217752406,1
"64",0.491119777056932,0.453635028926915,0.660156145822659,2
"65",0.522055632131571,0.649764671893002,0.328225529907529,1
"66",0.827021713178096,0.582269165190045,0.576617427145536,2
"67",0.446267650435526,0.517344428586226,0.74819555528256,2
"68",0.327270346806899,0.813482251534132,0.0138791627982371,1
"69",0.590625311687389,0.533753484679568,0.804125171046348,2
"70",0.673846237762078,0.567184163085229,0.585068125573991,2
"71",0.50300457379324,0.319300509157096,0.0617389219159563,3
"72",0.546163180409586,0.442001877337039,0.635985567953913,2
"73",0.454876764354019,0.66306459286934,0.393941076506261,1
"74",0.447139085165452,0.610701794018433,0.543840260969261,2
"75",0.569449919381756,0.575782645526653,0.29438875413118,1
"76",0.563912839113218,0.538729589478843,0.362219934817861,1
"77",0.746516432371636,0.532299526008364,0.433598996427997,2
"78",0.473554316050913,0.657169055976493,0.359204382459706,1
"79",0.554527246482815,0.535534997706033,0.577203173360789,2
"80",0.518740935717594,0.529073151454034,0.45159669328555,1
"81",0.574576357027729,0.566855220564024,0.304065195121041,1
"82",0.350719178978991,0.692819951109783,0.308699917194999,1
"83",0.367016310241834,0.493138029925837,0.309893371357394,1
"84",0.646632583593508,0.523759810402802,0.511882294618321,2
"85",0.352405359252407,0.581904255327917,0.246409540750205,1
"86",0.50139209940724,0.59389124699649,0.612206000653702,2
"87",0.551764590401912,0.493356569637997,0.420661441677151,1
"88",0.619394540119057,0.516720039944971,0.393020837834589,1
"89",0.65200254527975,0.57019684662561,0.852206931354497,2
"90",0.431875123833136,0.406736109527703,1,2
"91",0.438809662032787,0.186169797343717,0.01296809735887,3
"92",0.484797074058952,0.300998712702341,0.239532625137896,3
"93",0.469855576696999,0.309509595263757,0.0154726548840275,3
"94",0.461651619213259,0.350910589466492,0.210843923154775,3
"95",0.549045425276413,0.354329716302246,0.27424225075684,1
"96",0.614635108115331,0.396766590313873,0.521176465163602,2
"97",0.45593351343454,0.382453632255094,0.307453136207214,1
"98",0.656902412182379,0.450601557304096,0.455667584889688,2
"99",0.687636192194908,0.437214489632518,0.431542158364796,2
"100",0.617017118711079,0.462937335641862,0.361317624864292,1
"101",0.582669025016327,0.472515784288581,0.261521648344484,1
"102",0.427555542998199,0.52251154342148,0.4013202300363,1
"103",0.576530108291001,0.497242911093843,0.384009774870738,1
"104",0.399102448463697,0.492029711254211,0.386219166062923,1
"105",0.683376990783598,0.51135568207614,0.658967060743994,2
"106",0.672271805507546,0.551671515479068,0.625261446099669,2
"107",0.766899508514424,0.543708899427892,0.525579505737423,2
