"","","","","classificacoes"
"1",0.303060520311519,0.119934039719908,0.651941069762146,3
"2",0.454928637500571,0.112461325936868,0.68599122420298,3
"3",0.455829542135776,0.0978613670615868,0.562770842114917,3
"4",0.374423627371866,0.0981649156480029,0.744345889759697,3
"5",0.315980076517767,0.0778851005728229,0.0402694133338169,2
"6",0.576931149678506,0.109652565686251,0.542029617342291,3
"7",0.338752104297618,0.0809141756217825,0.172807420831616,2
"8",0.479441167376425,0.109920489119162,0.430409848428636,1
"9",0.49882076226852,0.107154502863702,0.900032018007289,3
"10",0.414018929818865,0.108693037282925,0.698244814378615,3
"11",0.553481909921269,0.108275170923966,0.751518736901834,3
"12",0.538816213925386,0.115388924543212,0.607425544227561,3
"13",0.482336774635375,0.0997477714547777,0.703198092527413,3
"14",0.449271278453674,0.11056544778229,0.634612223688613,3
"15",0.316533305426335,0.139402036154709,0.734695154640933,3
"16",0,0.0442832561688461,0.294402340107999,1
"17",0.68188539072677,0.107646935064339,0.378629130236259,3
"18",0.449719776944391,0.105136500838206,0.448275732279271,1
"19",0.201912376164556,1,0.170519513794195,1
"20",0.34537006192796,0.107739286496692,0.763830947322091,3
"21",0.31453484201234,0.116311978637716,0.666498022889478,3
"22",0.568057790991287,0.110397636444478,0.561503967185901,3
"23",0.433668232395012,0.0994843869304697,0.761757658553535,3
"24",0.401226026365285,0.117592685245057,0.359252757298954,1
"25",0.480248345987428,0.0984435707273674,0.534916390197599,3
"26",0.219300423638746,0.325653339264044,0.326975084032427,1
"27",0.399868144797451,0.118912445270618,0.489148395972181,1
"28",0.494432316743801,0.114456721016248,0.65753491394716,3
"29",0.581927988103716,0.118130972224283,0.664597538174065,3
"30",0.629869981869417,0.113132016462103,0.736145264494661,3
"31",0.349651836532954,0.0997057078870986,0.770745850895897,3
"32",0.33714881133753,0.105242334505326,0.359629976841988,1
"33",0.109773715452975,0.0320211614312231,0.231151307850804,1
"34",0.672663319166614,0.109040960819821,1,3
"35",0.524921795189527,0.115923158685265,0.348113734204386,1
"36",0.426819194579661,0.116375505307644,0.613800648746771,3
"37",0.340877988165905,0.112706483201611,0.401477148451961,1
"38",0.446524411796558,0.101665232139408,0.506312711013802,3
"39",0.651402407602457,0.115926212534829,0.72176550427521,3
"40",0.629356372488118,0.113185362168457,0.600755881878637,3
"41",0.420822300518612,0.0902198214691463,0.70866407609292,3
"42",0.58388926197382,0.0995582113626414,0.786251660591137,3
"43",0.458074566947046,0.106474992092912,0.460747694099193,1
"44",0.229535526297472,0.148414496571127,0.0711497058986523,2
"45",0.294865537156501,0.153134447712431,0.516456374117499,1
"46",0.446769527074566,0.0965964654125079,2.5192573087706e-06,2
"47",0.317110294911949,0.107158843874325,1.10706269393638e-05,2
"48",0.463094731040971,0.0906763020382611,1.35694062938049e-06,2
"49",0.321515311510612,0.114327070786773,1.12287753230774e-05,2
"50",0.338949935576532,0.10667194541094,9.10443030367901e-06,2
"51",0.335781042748674,0.105299926001477,9.88655778081814e-06,2
"52",0.327273036582952,0.108046439428656,1.17255565477283e-05,2
"53",0.340130246487916,0.10296512548216,6.64217937928071e-06,2
"54",0.386055128791036,0.0937618320813568,1.37315097911179e-06,2
"55",0.352103507443867,0.107571326499433,8.76834331612488e-06,2
"56",0.302580415469874,0.113680701924951,1.00802472383883e-05,2
"57",0.312488709185894,0.100096378818907,8.34254687175704e-06,2
