"","","","","classificacoes"
"1",0.356014427745927,0.469968745800312,0.37805799993364,3
"2",0.368221162717157,0.462785325664808,0.268503076076563,3
"3",0.425012898557296,0.472591622978357,0.426627099899083,3
"4",0.288457817323045,0.460678552707585,0.241350652471546,3
"5",0.440547740248113,0.476081017539076,0.154452253102711,1
"6",0.320113893003301,0.472866511529144,0.234221917411154,3
"7",0.432259661475598,0.47945959936903,0.267985434548658,3
"8",0.392937348032325,0.471969835937872,0.511717159237717,3
"9",0.285126657750373,0.454970476849606,0.013950122169758,1
"10",0.371129649859467,0.481500087040559,0.24662360592813,3
"11",0.246389791700332,0.446196084442382,0.0340312816906434,1
"12",0.355790768038346,0.466226697763902,0.191304361119999,1
"13",0.459044285183167,0.470221892379883,0.299445215698283,2
"14",0.341510269466601,0.469028863622714,0.274015577536307,3
"15",0.400896282440385,0.473062138593711,0.309674646220401,3
"16",0.289936814087932,0.484630269075595,0.251954666396873,3
"17",0.433813251015424,0.473806116337339,0.796644096808155,3
"18",0.258267419188866,0.468210159220666,0.0807583377288742,1
"19",0.358811479559012,0.466746165668126,0.396772860019506,3
"20",0.396780416196381,0.487474934453183,0.262192320714161,3
"21",0.26871126395068,0.45312531308527,0.0135554117388158,1
"22",0.344532408442053,0.473161287937829,0.344832101662487,3
"23",0.312756808110574,0.48658587295652,0.332462813005655,3
"24",0.416549911558691,0.475615400976632,0.144401463218179,1
"25",0.281964939735429,0.464759040048989,0.0202448558037199,1
"26",0.236964125608613,0.458533253183009,0.181262010416044,1
"27",0.370870692411677,0.467365984317181,0.29994447069911,3
"28",0.432805558467542,0.475058991451658,0.368838745078991,3
"29",0.31505071676774,0.463015028053375,0.0191709551962257,1
"30",0.287663002345244,0.478011891552779,0.135398060333731,1
"31",0.312222918481995,0.477889218205925,0.464758533352012,3
"32",0.24925258403965,0.472793759840309,0.024005440402489,1
"33",0.236735467218796,0.467467515831488,0.025817639284703,1
"34",0.378739715710314,0.475349401195877,0.423373393073778,3
"35",0.368255813905212,0.477252432997975,0.132121492629393,1
"36",0.392344596408997,0.478179931364663,0.613477933059828,3
"37",0.31582141417352,0.478942726070347,0.668324889528232,3
"38",0.437346471511894,0.47373609896198,0.511924235346482,3
"39",0.328746412697093,0.469664705375915,0.0641575023086079,1
"40",0.215707040389726,0.541012758692133,0.300493748516192,3
"41",0.315381202121557,0.476189211915741,0.343944738236493,3
"42",0.29673808830384,0.45343764626836,0.0264857108812913,1
"43",0.360243829121211,0.473383517567972,0.479046137300489,3
"44",0.261963101064649,0.453187559240012,0.0931366726917125,1
"45",0.237654101274501,0.470649167843423,0.102439864221807,1
"46",0.273031193066725,0.469190274330447,0.295247438118712,3
"47",0.40415312193877,0.47299533328588,0.317637781342281,3
"48",0.429821857413785,0.476543175792913,0.511979735075333,3
"49",0.23944197430045,0.475251023129351,0.0225014066469252,1
"50",0.539460389533078,0.481426803411192,0.358619468195749,2
"51",0.485953040369848,0.475111703308506,0.332050832022497,2
"52",0.343990926496146,0.481887294084742,0.330782756506797,3
"53",0.351425495560402,0.491739326161503,0.251220943722938,3
"54",0.579660849953808,0.479919025008407,0.172007993107277,2
"55",0.263252416320215,0.508393710641013,0.31977898940192,3
"56",0.405829748643952,0.482131002376635,0.233698889548965,3
"57",0.464749362381706,0.481538847308888,0.326836445966116,2
"58",0.338904307590305,0.473835922824457,0.24804980975324,3
"59",0.656754828082078,0.477424028259323,0.361633827929788,2
"60",0.0516810839182338,0.434960191443388,0.260390662701002,1
"61",0.616618309276823,0.479575474110224,0.272220260440394,2
"62",0.540042231985526,0.479416588901499,0.210916547707956,2
"63",0.32022059578722,0.470288328595769,0.130664326949748,1
"64",0.381297349426209,0.49061428326025,0.472296878527207,3
"65",0.381375690161146,0.479387927389577,0.222624119387171,3
"66",0.165754380713802,0.348666978701502,0.27877376704049,3
"67",0.282487849876254,0.467375444668492,0.0117725876372248,1
"68",0.336802214953299,0.469863652958424,0.288361131510099,3
"69",0.620672673990193,0.481690125867781,0.248451997000448,2
"70",0.189661327058207,0.366027470124476,0.271642333955909,3
"71",0.453942064921133,0.485964653497177,0.461943947598442,3
"72",0.32883670725395,0.472414371550735,0.323717013357172,3
"73",0.493843437156122,0.480414955253863,0.369380931994808,2
"74",0.586653649834278,0.480663425847739,0.493066587111121,2
"75",0.268137576431498,0.477167238471122,0.0424363709559219,1
