"","","","","classificacoes"
"78",0.283565581777581,0.736601276661883,0.0307849765680472,1
"79",0.530031724615446,0.744253857447793,0.27895626031029,2
"80",0.319058514365472,0.732797742511671,0.112801892182643,1
"81",0.449600030765682,0.740671894906276,0.413903866230642,3
"82",0.577733964494356,0.75475256755913,0.217507478064329,2
"83",0.633994248449738,0.742568452820104,0.350750182635139,2
"84",0.337057876705059,0.753632215398052,0.255282829539919,3
"85",0.28688018015325,0.717181435027367,0.0143378757686502,1
"86",0.374113413874781,0.739649717891678,0.538719150945916,3
"87",0.337918503071223,0.74301149087283,0.504538680870469,3
"88",0.631594679181384,0.752737240544836,0.388911752091597,2
"89",0.76275785191911,0.745066756243525,0.198969052701453,2
"90",0.360099761016177,0.744126448158369,0.452962271627893,3
"91",0.378971979607011,0.729628124782253,0,1
"92",0.299685807492635,0.717489036566765,0.0343183949108532,1
"93",0.493825377567444,0.733819567213435,0.348663326085781,3
"94",0.462660307070753,0.746107870526552,0.199078600984049,3
"95",0.454498675410088,0.747944182642906,0.206252442691454,3
"96",0.237380588556121,0.738965387969902,0.0766477399329669,1
"97",0.809589810239296,0.75027603837204,0.502625567735186,2
"98",0,0.683952561216475,0.242880511075786,1
"99",0.636816504594444,0.744447058789825,0.428803833741747,2
"100",0.646794183041926,0.75326557275603,0.304397828948286,2
"101",0.253687272009391,0.734359286619857,0.00708597163384335,1
"102",0.496943599643756,0.752487993732775,0.395178993816135,3
"103",0.351088809466387,0.758718439315781,0.260244633984129,3
"104",0.90727039427874,0.746606291794746,0.324006581471758,2
"105",0.395154577805784,0.734883793170055,0.367639663547382,3
"106",0.261940202777662,0.774847149962478,0.300070107259146,3
"107",0.498336916702196,0.753235271894264,0.201777636380677,3
"108",0.471579991276679,0.742721438163821,0.28880090096381,3
"109",0.41376665633162,0.723988984217068,1,3
"110",0.673828497692806,0.748894095523762,0.36936572513904,2
"111",0.679898823154608,0.753084537426709,0.191307897651789,2
"112",0.319756575015156,0.764529191129969,0.230647058323512,3
"113",0.788631058787899,0.752855344530788,0.243366356055339,2
"114",0.285058307773109,0.737117768749285,0.00170258530125675,1
"115",0.504468344786415,0.736160230328953,0.275897460540321,3
"116",0.113668254120293,0.654308142989495,0.354503260447126,1
"117",1,0.748099356123239,0.312166548284214,2
"118",0.686361296315157,0.744253926089499,0.185729934678961,2
"119",0.063036744452746,0.686076134555722,0.623503123554671,3
"120",0.483394629961178,0.737055631401466,0.356001376122539,3
"121",0.442395213362887,0.750846404122736,0.283179765048461,3
"122",0.0964062301833119,0.675056382382038,0.209636713400351,1
"123",0.433702482883109,0.756794371539649,0.254102920273761,3
"124",0.760266839771673,0.752489118036269,0.131347133914326,2
"125",0.0464835517868874,0.676587950902444,0.319140225152163,1
"126",0.288285853843341,0.774375385418411,0.29113526667848,3
"127",0.503599282769933,0.758795901803906,0.252597498700856,3
"128",0.422468511430194,0.758105862137014,0.337779063834908,3
"129",0.317554273076228,0.744395901056945,0.336289384637192,3
"130",0.210988211562824,1,0.186302752356714,1
"131",0.496411625324768,0.73700513355464,0.39123638877675,3
"132",0.313713792523379,0.74225091778978,0.1256450644571,1
"133",0.320816471299801,0.754026783614741,0.460909041672305,3
"134",0.192233176957195,0,0.139536525285141,1
"135",0.446945506057979,0.732101552420294,0.254800853662146,3
